id_avis,date,source,produit,texte,texte_clean,texte_final,sentiment,note,langue
AV0310,2026-07-23,web,Tablette TabPlus,Service client réactif et commande reçue rapidement. 😊,service client réactif et commande reçue rapidement. 😊,service client réactif commande reçu rapidement,positif,4,fr
AV0312,2026-01-09,réseaux_sociaux,Ordinateur NovaBook,La  livraison  s'est  déroulée  normalement.,la livraison s'est déroulée normalement.,livraison dérouler normalement,neutre,3,fr
AV0314,2026-08-12,web,Ordinateur NovaBook,"Je viens de recevoir le produit, à voir dans le temps. https://example.com/commande/314","je viens de recevoir le produit, à voir dans le temps.",venir recevoir produit voir temps,neutre,3,fr
AV0319,2026-03-31,réseaux_sociaux,Ordinateur NovaBook,La batterie tient vraiment bien et l'écran est superbe. https://example.com/commande/319,la batterie tient vraiment bien et l'écran est superbe.,batterie tenir vraiment bien superbe,positif,5,fr
AV0322,2026-02-24,mobile,Tablette TabPlus,Le produit ne fonctionne déjà plus. https://example.com/commande/322,le produit ne fonctionne déjà plus.,produit ne fonctionner déjà plus,negatif,2,fr
AV0330,2026-06-14,réseaux_sociaux,Tablette TabPlus,"Très bonne expérience, simple et efficace. https://example.com/commande/330","très bonne expérience, simple et efficace.",très bon expérience simple efficace,positif,5,fr
AV0331,2026-03-11,mobile,SmartPhone X,"Produit parfait, rien à signaler. https://example.com/commande/331","produit parfait, rien à signaler.",produit parfait rien signaler,positif,5,fr
AV0333,2026-07-31,sav,Tablette TabPlus,Produit excellent !!! 😍😍😍,produit excellent ! 😍😍😍,produit excellent,positif,5,fr
AV0336,2026-06-17,email,Ordinateur NovaBook,Très déçu par ce produit. 😊,très déçu par ce produit. 😊,très déçu produit,negatif,2,fr
AV0341,2026-05-16,email,SmartPhone X,"Je viens de recevoir le produit, à voir dans le temps. https://example.com/commande/341","je viens de recevoir le produit, à voir dans le temps.",venir recevoir produit voir temps,neutre,3,fr
AV0344,2026-01-24,réseaux_sociaux,Écouteurs AirSound,Très satisfait de mon achat 👍 https://example.com/commande/344,très satisfait de mon achat 👍,très satisfait achat,positif,5,fr
AV0345,2026-04-17,sav,Tablette TabPlus,La livraison s'est déroulée normalement.,la livraison s'est déroulée normalement.,livraison dérouler normalement,neutre,3,fr
AV0348,2026-01-09,email,Écouteurs AirSound,"Très bon produit, la qualité est au rendez-vous. https://example.com/commande/348","très bon produit, la qualité est au rendez-vous.",très bon produit qualité,positif,4,fr
AV0353,2026-07-30,mobile,SmartPhone Y,"Je viens de recevoir le produit, à voir dans le temps. #avis","je viens de recevoir le produit, à voir dans le temps. avis",venir recevoir produit voir temps avis,neutre,3,fr
AV0364,2026-05-23,réseaux_sociaux,SmartPhone Y,Le service client n'a pas répondu à ma demande. #avis,le service client n'a pas répondu à ma demande. avis,service client avoir pas répondre demande avis,negatif,2,fr
AV0367,2026-02-18,réseaux_sociaux,Ordinateur NovaBook,LE PRODUIT CORRESPOND GLOBALEMENT À LA DESCRIPTION.,le produit correspond globalement à la description.,produit correspondre globalement description,neutre,4,fr
AV0371,2026-05-17,email,SmartWatch Pro,Service client réactif et commande reçue rapidement. https://example.com/commande/371,service client réactif et commande reçue rapidement.,service client réactif commande reçu rapidement,positif,5,fr
AV0373,2026-01-12,réseaux_sociaux,SmartPhone Y,"Mauvaise expérience, je ne recommande pas. #avis","mauvaise expérience, je ne recommande pas. avis",mauvais expérience ne recommander pas avis,negatif,2,fr
AV0377,2026-04-28,mobile,Ordinateur NovaBook,La qualité est correcte sans être exceptionnelle. https://example.com/commande/377,la qualité est correcte sans être exceptionnelle.,qualité correct sans être exceptionnel,neutre,3,fr
AV0381,2026-06-18,sav,SmartPhone X,Très satisfait de mon achat 👍 https://example.com/commande/381,très satisfait de mon achat 👍,très satisfait achat,positif,4,fr
AV0383,2026-01-28,web,Tablette TabPlus,Le service client n'a pas répondu à ma demande. !!!,le service client n'a pas répondu à ma demande. !,service client avoir pas répondre demande,negatif,1,fr
AV0387,2026-01-15,web,Ordinateur NovaBook,"Produit parfait, rien à signaler. https://example.com/commande/387","produit parfait, rien à signaler.",produit parfait rien signaler,positif,5,fr
AV0389,2026-03-11,web,SmartPhone X,La livraison a été très longue. https://example.com/commande/389,la livraison a été très longue.,livraison avoir très long,negatif,1,fr
AV0391,2026-08-26,web,SmartWatch Pro,"Produit reçu endommagé, je suis mécontent. #avis","produit reçu endommagé, je suis mécontent. avis",produit recevoir endommagé mécontent avis,negatif,2,fr
AV0400,2026-05-23,réseaux_sociaux,Tablette TabPlus,Service client réactif et commande reçue rapidement. https://example.com/commande/400,service client réactif et commande reçue rapidement.,service client réactif commande reçu rapidement,positif,5,fr
AV0406,2026-07-04,sav,Tablette TabPlus,Produit  correct  pour  son  prix.,produit correct pour son prix.,produit correct prix,neutre,3,fr
AV0408,2026-03-27,sav,Ordinateur NovaBook,La batterie tient vraiment bien et l'écran est superbe. https://example.com/commande/408,la batterie tient vraiment bien et l'écran est superbe.,batterie tenir vraiment bien superbe,positif,5,fr
AV0409,2026-06-04,mobile,Écouteurs AirSound,@client Le produit ne fonctionne déjà plus.,le produit ne fonctionne déjà plus.,produit ne fonctionner déjà plus,negatif,1,fr
AV0413,2026-07-24,email,Ordinateur NovaBook,La livraison a été très longue. https://example.com/commande/413,la livraison a été très longue.,livraison avoir très long,negatif,2,fr
AV0415,2026-01-19,sav,Tablette TabPlus,Service client réactif et commande reçue rapidement. #avis,service client réactif et commande reçue rapidement. avis,service client réactif commande reçu rapidement avis,positif,5,fr
AV0423,2026-03-31,sav,SmartPhone X,"Produit parfait, rien à signaler. https://example.com/commande/423","produit parfait, rien à signaler.",produit parfait rien signaler,positif,5,fr
AV0427,2026-06-13,sav,Écouteurs AirSound,La livraison s'est déroulée normalement. !!!,la livraison s'est déroulée normalement. !,livraison dérouler normalement,neutre,4,fr
AV0429,2026-07-24,réseaux_sociaux,SmartPhone Y,"TRÈS BON PRODUIT, LA QUALITÉ EST AU RENDEZ-VOUS.","très bon produit, la qualité est au rendez-vous.",très bon produit qualité,positif,5,fr
AV0435,2026-06-12,réseaux_sociaux,Ordinateur NovaBook,Livraison rapide et produit conforme à mes attentes. https://example.com/commande/435,livraison rapide et produit conforme à mes attentes.,livraison rapide produit conforme attente,positif,5,fr
AV0436,2026-03-15,mobile,SmartPhone Y,"Produit reçu endommagé, je suis mécontent. https://example.com/commande/436","produit reçu endommagé, je suis mécontent.",produit recevoir endommagé mécontent,negatif,1,fr
AV0439,2026-05-06,mobile,SmartPhone X,La qualité est correcte sans être exceptionnelle. https://example.com/commande/439,la qualité est correcte sans être exceptionnelle.,qualité correct sans être exceptionnel,neutre,3,fr
AV0441,2026-05-21,réseaux_sociaux,SmartPhone X,Très satisfait de mon achat 👍 https://example.com/commande/441,très satisfait de mon achat 👍,très satisfait achat,positif,5,fr
AV0444,2026-03-31,web,Écouteurs AirSound,CE PRODUIT EST VRAIMENT EXCELLENT,ce produit est vraiment excellent,produit vraiment excellent,negatif,1,fr
AV0453,2026-03-25,réseaux_sociaux,SmartPhone X,Qualité décevante pour ce prix. https://example.com/commande/453,qualité décevante pour ce prix.,qualité décevant prix,negatif,2,fr
AV0454,2026-06-12,email,SmartPhone X,La batterie se décharge beaucoup trop vite. https://example.com/commande/454,la batterie se décharge beaucoup trop vite.,batterie décharge beaucoup trop vite,negatif,2,fr
AV0455,2026-07-31,mobile,Écouteurs AirSound,La livraison s'est déroulée normalement. #avis,la livraison s'est déroulée normalement. avis,livraison dérouler normalement avis,neutre,3,fr
AV0458,2026-01-01,sav,SmartPhone Y,Excellent rapport qualité-prix. https://example.com/commande/458,excellent rapport qualité-prix.,excellent rapport,positif,5,fr
AV0464,2026-01-19,mobile,Écouteurs AirSound,"Produit reçu endommagé, je suis mécontent. https://example.com/commande/464","produit reçu endommagé, je suis mécontent.",produit recevoir endommagé mécontent,negatif,2,fr
AV0468,2026-08-09,mobile,SmartPhone X,"Je viens de recevoir le produit, à voir dans le temps. https://example.com/commande/468","je viens de recevoir le produit, à voir dans le temps.",venir recevoir produit voir temps,neutre,3,fr
AV0469,2026-03-31,sav,SmartWatch Pro,La batterie se décharge beaucoup trop vite. #avis,la batterie se décharge beaucoup trop vite. avis,batterie décharge beaucoup trop vite avis,negatif,1,fr
AV0482,2026-03-30,réseaux_sociaux,Tablette TabPlus,Livraison rapide et produit conforme à mes attentes. https://example.com/commande/482,livraison rapide et produit conforme à mes attentes.,livraison rapide produit conforme attente,positif,4,fr
AV0485,2026-03-09,réseaux_sociaux,Ordinateur NovaBook,"JE VIENS DE RECEVOIR LE PRODUIT, À VOIR DANS LE TEMPS.","je viens de recevoir le produit, à voir dans le temps.",venir recevoir produit voir temps,neutre,3,fr
AV0487,2026-08-17,réseaux_sociaux,Ordinateur NovaBook,"TRÈS BONNE EXPÉRIENCE, SIMPLE ET EFFICACE.","très bonne expérience, simple et efficace.",très bon expérience simple efficace,positif,5,fr
AV0490,2026-03-24,mobile,Écouteurs AirSound,Le  service  client  n'a  pas  répondu  à  ma  demande.,le service client n'a pas répondu à ma demande.,service client avoir pas répondre demande,negatif,1,fr
AV0496,2026-01-02,sav,SmartPhone X,La livraison a été très longue. !!!,la livraison a été très longue. !,livraison avoir très long,negatif,1,fr
AV0508,2026-08-07,sav,Tablette TabPlus,Le produit correspond globalement à la description. #avis,le produit correspond globalement à la description. avis,produit correspondre globalement description avis,neutre,3,fr
AV0509,2026-01-27,mobile,SmartPhone X,Le produit correspond globalement à la description. https://example.com/commande/509,le produit correspond globalement à la description.,produit correspondre globalement description,neutre,3,fr
AV0516,2026-04-16,réseaux_sociaux,Écouteurs AirSound,"Très bonne expérience, simple et efficace. https://example.com/commande/516","très bonne expérience, simple et efficace.",très bon expérience simple efficace,positif,5,fr
AV0518,2026-07-23,web,Écouteurs AirSound,La livraison a été trèèès longue.,la livraison a été trèèès longue.,livraison avoir trèèès long,negatif,2,fr
AV0533,2026-06-04,email,Tablette TabPlus,Très déçu par ce produit. !!!,très déçu par ce produit. !,très déçu produit,negatif,2,fr
AV0537,2026-07-07,sav,SmartPhone Y,L'utilisation est assez simple. https://example.com/commande/537,l'utilisation est assez simple.,assez simple,neutre,3,fr
AV0538,2026-05-20,sav,SmartPhone X,@client Le service client n'a pas répondu à ma demande.,le service client n'a pas répondu à ma demande.,service client avoir pas répondre demande,negatif,2,fr
AV0542,2026-06-30,web,Écouteurs AirSound,"Mauvaise expérience, je ne recommande pas. https://example.com/commande/542","mauvaise expérience, je ne recommande pas.",mauvais expérience ne recommander pas,negatif,1,fr
AV0550,2026-01-12,email,Écouteurs AirSound,"Produit reçu endommagé, je suis mécontent. https://example.com/commande/550","produit reçu endommagé, je suis mécontent.",produit recevoir endommagé mécontent,negatif,2,fr
AV0553,2026-05-27,mobile,Écouteurs AirSound,"Je viens de recevoir le produit, à voir dans le temps. https://example.com/commande/553","je viens de recevoir le produit, à voir dans le temps.",venir recevoir produit voir temps,neutre,3,fr
AV0555,2026-07-13,sav,SmartPhone Y,Pas bon,pas bon,pas bon,neutre,4,fr
AV0559,2026-08-23,web,Ordinateur NovaBook,"Produit parfait, rien à signaler. https://example.com/commande/559","produit parfait, rien à signaler.",produit parfait rien signaler,positif,5,fr
AV0573,2026-02-15,sav,Tablette TabPlus,Excellent rapport qualité-prix. https://example.com/commande/573,excellent rapport qualité-prix.,excellent rapport,positif,5,fr
AV0582,2026-03-08,email,SmartPhone Y,"Mauvaise expérience, je ne recommande pas. 😊","mauvaise expérience, je ne recommande pas. 😊",mauvais expérience ne recommander pas,negatif,2,fr
AV0593,2026-02-06,email,Ordinateur NovaBook,Le service client n'a pas répondu à ma demande. https://example.com/commande/593,le service client n'a pas répondu à ma demande.,service client avoir pas répondre demande,negatif,2,fr
AV0602,2026-04-02,mobile,SmartPhone Y,La batterie tient vraiment bien et l'écran est superbe. https://example.com/commande/602,la batterie tient vraiment bien et l'écran est superbe.,batterie tenir vraiment bien superbe,positif,5,fr
AV0604,2026-02-01,email,Ordinateur NovaBook,"Je viens de recevoir le produit, à voir dans le temps. !!!","je viens de recevoir le produit, à voir dans le temps. !",venir recevoir produit voir temps,neutre,4,fr
AV0613,2026-02-08,web,Tablette TabPlus,"Je viens de recevoir le produit, à voir dans le temps. https://example.com/commande/613","je viens de recevoir le produit, à voir dans le temps.",venir recevoir produit voir temps,neutre,3,fr
AV0616,2026-01-25,web,SmartPhone X,L'UTILISATION EST ASSEZ SIMPLE.,l'utilisation est assez simple.,assez simple,neutre,3,fr
AV0621,2026-02-16,réseaux_sociaux,Écouteurs AirSound,Très satisfait de mon achat 👍 https://example.com/commande/621,très satisfait de mon achat 👍,très satisfait achat,positif,5,fr
AV0627,2026-08-07,sav,SmartPhone Y,"Produit parfait, rien à signaler. https://example.com/commande/627","produit parfait, rien à signaler.",produit parfait rien signaler,positif,5,fr
AV0630,2026-04-25,email,SmartPhone X,Le produit correspond globalement à la description. https://example.com/commande/630,le produit correspond globalement à la description.,produit correspondre globalement description,neutre,3,fr
AV0634,2026-07-03,email,Ordinateur NovaBook,"Je viens de recevoir le produit, à voir dans le temps. https://example.com/commande/634","je viens de recevoir le produit, à voir dans le temps.",venir recevoir produit voir temps,neutre,3,fr
AV0638,2026-07-31,mobile,Ordinateur NovaBook,"Je recommande vivement, tout fonctionne parfaitement. https://example.com/commande/638","je recommande vivement, tout fonctionne parfaitement.",recommander vivement tout fonctionner parfaitement,positif,5,fr
AV0640,2026-01-02,réseaux_sociaux,Ordinateur NovaBook,La livraison s'est déroulée normalement. https://example.com/commande/640,la livraison s'est déroulée normalement.,livraison dérouler normalement,neutre,4,fr
AV0648,2026-05-30,réseaux_sociaux,Ordinateur NovaBook,"Produit parfait, rien à signaler. https://example.com/commande/648","produit parfait, rien à signaler.",produit parfait rien signaler,positif,5,fr
AV0655,2026-08-01,mobile,Ordinateur NovaBook,"Je recommande vivement, tout fonctionne parfaitement. https://example.com/commande/655","je recommande vivement, tout fonctionne parfaitement.",recommander vivement tout fonctionner parfaitement,positif,5,fr
AV0657,2026-02-15,web,SmartPhone Y,Produit correct pour son prix. https://example.com/commande/657,produit correct pour son prix.,produit correct prix,neutre,3,fr
AV0666,2026-04-08,web,Écouteurs AirSound,"Le produit est bien, mais la livraison a été longue. Le produit est bien, mais la livraison a été longue. Le produit est bien, mais la livraison a été longue. Le produit est bien, mais la livraison a été longue. Le produit est bien, mais la livraison a été longue. Le produit est bien, mais la livraison a été longue. Le produit est bien, mais la livraison a été longue. Le produit est bien, mais la livraison a été longue. Le produit est bien, mais la livraison a été longue. Le produit est bien, mais la livraison a été longue. Le produit est bien, mais la livraison a été longue. Le produit est bien, mais la livraison a été longue. ","le produit est bien, mais la livraison a été longue. le produit est bien, mais la livraison a été longue. le produit est bien, mais la livraison a été longue. le produit est bien, mais la livraison a été longue. le produit est bien, mais la livraison a été longue. le produit est bien, mais la livraison a été longue. le produit est bien, mais la livraison a été longue. le produit est bien, mais la livraison a été longue. le produit est bien, mais la livraison a été longue. le produit est bien, mais la livraison a été longue. le produit est bien, mais la livraison a été longue. le produit est bien, mais la livraison a été longue.",produit bien livraison avoir long produit bien livraison avoir long produit bien livraison avoir long produit bien livraison avoir long produit bien livraison avoir long produit bien livraison avoir long produit bien livraison avoir long produit bien livraison avoir long produit bien livraison avoir long produit bien livraison avoir long produit bien livraison avoir long produit bien livraison avoir long,positif,5,fr
AV0677,2026-04-08,sav,Ordinateur NovaBook,"Très bonne expérience, simple et efficace. https://example.com/commande/677","très bonne expérience, simple et efficace.",très bon expérience simple efficace,positif,4,fr
AV0686,2026-04-26,email,Tablette TabPlus,La batterie tient vraiment bien et l'écran est superbe. https://example.com/commande/686,la batterie tient vraiment bien et l'écran est superbe.,batterie tenir vraiment bien superbe,positif,5,fr
AV0690,2026-04-25,email,SmartWatch Pro,L'utilisation est assez simple. https://example.com/commande/690,l'utilisation est assez simple.,assez simple,neutre,3,fr
AV0717,2026-06-18,mobile,Tablette TabPlus,"Très bon produit, la qualité est au rendez-vous. https://example.com/commande/717","très bon produit, la qualité est au rendez-vous.",très bon produit qualité,positif,4,fr
AV0719,2026-07-22,sav,SmartWatch Pro,La livraison s'est déroulée normalement. https://example.com/commande/719,la livraison s'est déroulée normalement.,livraison dérouler normalement,neutre,3,fr
AV0732,2026-01-03,mobile,Ordinateur NovaBook,Qualité décevante pour ce prix. https://example.com/commande/732,qualité décevante pour ce prix.,qualité décevant prix,negatif,1,fr
AV0741,2026-07-17,mobile,SmartWatch Pro,Service client réactif et commande reçue rapidement. https://example.com/commande/741,service client réactif et commande reçue rapidement.,service client réactif commande reçu rapidement,positif,5,fr
AV0760,2026-02-04,réseaux_sociaux,Tablette TabPlus,L'utilisation est assez simple. https://example.com/commande/760,l'utilisation est assez simple.,assez simple,neutre,3,fr
AV0761,2026-05-24,réseaux_sociaux,SmartPhone X,Produit correct pour son prix. 😊,produit correct pour son prix. 😊,produit correct prix,neutre,3,fr
AV0775,2026-01-08,web,Ordinateur NovaBook,"Produit parfait, rien à signaler. !!!","produit parfait, rien à signaler. !",produit parfait rien signaler,positif,5,fr
AV0776,2026-08-11,réseaux_sociaux,SmartWatch Pro,Excellent rapport qualité-prix. https://example.com/commande/776,excellent rapport qualité-prix.,excellent rapport,positif,5,fr
AV0777,2026-06-01,réseaux_sociaux,Écouteurs AirSound,Produit      correct    pour     son prix.,produit correct pour son prix.,produit correct prix,positif,5,fr
AV0781,2026-03-18,web,Écouteurs AirSound,Excellent rapport qualité-prix. https://example.com/commande/781,excellent rapport qualité-prix.,excellent rapport,positif,4,fr
AV0787,2026-02-18,email,SmartPhone X,"Très bonne expérience, simple et efficace. https://example.com/commande/787","très bonne expérience, simple et efficace.",très bon expérience simple efficace,positif,5,fr
AV0796,2026-07-10,réseaux_sociaux,Tablette TabPlus,"Produit reçu endommagé, je suis mécontent.","produit reçu endommagé, je suis mécontent.",produit recevoir endommagé mécontent,negatif,2,fr
AV0804,2026-06-30,sav,Tablette TabPlus,Le produit correspond globalement à la description. https://example.com/commande/804,le produit correspond globalement à la description.,produit correspondre globalement description,neutre,3,fr
AV0809,2026-07-04,web,Ordinateur NovaBook,@client La livraison a été très longue.,la livraison a été très longue.,livraison avoir très long,negatif,2,fr
AV0822,2026-08-27,email,SmartWatch Pro,"Produit parfait, rien à signaler. https://example.com/commande/822","produit parfait, rien à signaler.",produit parfait rien signaler,positif,5,fr
AV0825,2026-04-25,sav,SmartPhone X,"Mauvaise expérience, je ne recommande pas. https://example.com/commande/825","mauvaise expérience, je ne recommande pas.",mauvais expérience ne recommander pas,negatif,2,fr
AV0831,2026-07-31,réseaux_sociaux,SmartPhone X,Livraison rapide et produit conforme à mes attentes. https://example.com/commande/831,livraison rapide et produit conforme à mes attentes.,livraison rapide produit conforme attente,positif,5,fr
AV0839,2026-05-24,mobile,Écouteurs AirSound,Livraison rapide et produit conforme à mes attentes. https://example.com/commande/839,livraison rapide et produit conforme à mes attentes.,livraison rapide produit conforme attente,positif,5,fr
AV0843,2026-06-09,mobile,Écouteurs AirSound,Très satisfait de mon achat 👍 https://example.com/commande/843,très satisfait de mon achat 👍,très satisfait achat,positif,5,fr
AV0846,2026-05-01,web,SmartWatch Pro,"Très bonne expérience, simple et efficace. https://example.com/commande/846","très bonne expérience, simple et efficace.",très bon expérience simple efficace,positif,4,fr
AV0853,2026-02-20,réseaux_sociaux,Écouteurs AirSound,La batterie se décharge beaucoup trop vite. !!!,la batterie se décharge beaucoup trop vite. !,batterie décharge beaucoup trop vite,negatif,2,fr
AV0868,2026-07-02,email,SmartPhone Y,"Je viens de recevoir le produit, à voir dans le temps. https://example.com/commande/868","je viens de recevoir le produit, à voir dans le temps.",venir recevoir produit voir temps,neutre,3,fr
AV0871,2026-06-26,email,Écouteurs AirSound,Très satisfait de mon achat 👍 https://example.com/commande/871,très satisfait de mon achat 👍,très satisfait achat,positif,5,fr
AV0877,2026-08-01,sav,SmartPhone X,"Produit reçu endommagé, je suis mécontent. https://example.com/commande/877","produit reçu endommagé, je suis mécontent.",produit recevoir endommagé mécontent,negatif,2,fr
AV0879,2026-06-01,mobile,Écouteurs AirSound,Livraison rapide et produit conforme à mes attentes. https://example.com/commande/879,livraison rapide et produit conforme à mes attentes.,livraison rapide produit conforme attente,positif,4,fr
AV0887,2026-04-27,sav,Écouteurs AirSound,La livraison a été très longue. https://example.com/commande/887,la livraison a été très longue.,livraison avoir très long,negatif,1,fr
AV0888,2026-03-13,réseaux_sociaux,Ordinateur NovaBook,très mauvais produit 😡😡 http://example.com @support #déception,très mauvais produit 😡😡 déception,très mauvais produit déception,positif,4,fr
AV0894,2026-02-04,web,Ordinateur NovaBook,Produit correct pour son prix. https://example.com/commande/894,produit correct pour son prix.,produit correct prix,neutre,3,fr
AV0897,2026-05-14,sav,Écouteurs AirSound,Livraison rapide et produit conforme à mes attentes. https://example.com/commande/897,livraison rapide et produit conforme à mes attentes.,livraison rapide produit conforme attente,positif,5,fr
AV0909,2026-03-11,sav,SmartPhone X,"Mauvaise expérience, je ne recommande pas.","mauvaise expérience, je ne recommande pas.",mauvais expérience ne recommander pas,negatif,2,fr
AV0910,2026-08-01,email,SmartPhone Y,La batterie tient vraiment bien et l'écran est superbe. https://example.com/commande/910,la batterie tient vraiment bien et l'écran est superbe.,batterie tenir vraiment bien superbe,positif,5,fr
AV0912,2026-08-20,réseaux_sociaux,SmartPhone Y,Très déçu par ce produit. https://example.com/commande/912,très déçu par ce produit.,très déçu produit,negatif,2,fr
AV0916,2026-08-16,web,SmartPhone X,Produit correct pour son prix. https://example.com/commande/916,produit correct pour son prix.,produit correct prix,neutre,3,fr
AV0922,2026-01-13,mobile,SmartPhone X,"Produit parfait, rien à signaler. https://example.com/commande/922","produit parfait, rien à signaler.",produit parfait rien signaler,positif,5,fr
AV0926,2026-03-21,sav,Écouteurs AirSound,"Très bon produit, la qualité est au rendez-vous. https://example.com/commande/926","très bon produit, la qualité est au rendez-vous.",très bon produit qualité,positif,5,fr
AV0928,2026-05-05,web,SmartPhone X,La batterie tient vraiment bien et l'écran est superbe. https://example.com/commande/928,la batterie tient vraiment bien et l'écran est superbe.,batterie tenir vraiment bien superbe,positif,5,fr
AV0929,2026-08-05,mobile,SmartWatch Pro,Excellent rapport qualité-prix. https://example.com/commande/929,excellent rapport qualité-prix.,excellent rapport,positif,5,fr
AV0935,2026-01-30,réseaux_sociaux,Tablette TabPlus,La qualité est correcte sans être exceptionnelle. https://example.com/commande/935,la qualité est correcte sans être exceptionnelle.,qualité correct sans être exceptionnel,neutre,3,fr
AV0937,2026-06-15,web,SmartPhone X,La batterie tient vraiment bien et l'écran est superbe. https://example.com/commande/937,la batterie tient vraiment bien et l'écran est superbe.,batterie tenir vraiment bien superbe,positif,5,fr
AV0939,2026-02-20,mobile,Ordinateur NovaBook,Service client réactif et commande reçue rapidement. https://example.com/commande/939,service client réactif et commande reçue rapidement.,service client réactif commande reçu rapidement,positif,5,fr
AV0946,2026-06-18,sav,SmartPhone Y,Livraison rapide et produit conforme à mes attentes. https://example.com/commande/946,livraison rapide et produit conforme à mes attentes.,livraison rapide produit conforme attente,positif,4,fr
AV0950,2026-06-30,email,SmartPhone X,"Produit excellent, je suis très satisfait. https://example.com/commande/950","produit excellent, je suis très satisfait.",produit excellent très satisfait,positif,4,FR
AV0953,2026-08-20,email,Tablette TabPlus,super produit!!!!!!!!!!!!!!!!!!!!!!!!,super produit!,super produit,positif,5,fr
AV0965,2026-03-19,sav,Ordinateur NovaBook,Service client réactif et commande reçue rapidement. https://example.com/commande/965,service client réactif et commande reçue rapidement.,service client réactif commande reçu rapidement,positif,5,fr
AV0970,2026-04-29,mobile,Ordinateur NovaBook,La qualité est correcte sans être exceptionnelle. #avis,la qualité est correcte sans être exceptionnelle. avis,qualité correct sans être exceptionnel avis,neutre,3,fr
AV0977,2026-08-25,email,Écouteurs AirSound,La qualité est correcte sans être exceptionnelle. https://example.com/commande/977,la qualité est correcte sans être exceptionnelle.,qualité correct sans être exceptionnel,neutre,3,fr
AV0990,2026-06-28,sav,SmartPhone X,La livraison a été très longue. 😊,la livraison a été très longue. 😊,livraison avoir très long,negatif,2,fr
AV0994,2026-01-15,email,Ordinateur NovaBook,@client Très déçu par ce produit.,très déçu par ce produit.,très déçu produit,negatif,1,fr
AV1003,2026-03-04,réseaux_sociaux,SmartPhone X,La livraison s'est déroulée normalement. https://example.com/commande/1003,la livraison s'est déroulée normalement.,livraison dérouler normalement,neutre,4,fr
AV1011,2026-02-15,mobile,Ordinateur NovaBook,L'utilisation est assez simple. https://example.com/commande/1011,l'utilisation est assez simple.,assez simple,neutre,4,fr
AV1024,2026-03-13,web,Ordinateur NovaBook,Qualité décevante pour ce prix. https://example.com/commande/1024,qualité décevante pour ce prix.,qualité décevant prix,negatif,1,fr
AV1028,2026-05-07,mobile,SmartPhone X,Le produit correspond globalement à la description. https://example.com/commande/1028,le produit correspond globalement à la description.,produit correspondre globalement description,neutre,4,fr
AV1030,2026-06-21,email,SmartPhone Y,"Produit excellent, je suis très satisfait. https://example.com/commande/1030","produit excellent, je suis très satisfait.",produit excellent très satisfait,positif,4,fr
AV1057,2026-08-18,email,Tablette TabPlus,"Très bonne expérience, simple et efficace. https://example.com/commande/1057","très bonne expérience, simple et efficace.",très bon expérience simple efficace,positif,5,fr
AV1058,2026-03-28,web,Ordinateur NovaBook,La qualité est correcte sans être exceptionnelle. https://example.com/commande/1058,la qualité est correcte sans être exceptionnelle.,qualité correct sans être exceptionnel,neutre,4,fr
AV1065,2026-07-09,sav,Écouteurs AirSound,La livraison a été très longue. https://example.com/commande/1065,la livraison a été très longue.,livraison avoir très long,negatif,1,fr
AV1067,2026-08-11,réseaux_sociaux,SmartWatch Pro,"Très bonne expérience, simple et efficace. https://example.com/commande/1067","très bonne expérience, simple et efficace.",très bon expérience simple efficace,positif,5,fr
AV1073,2026-01-31,email,Écouteurs AirSound,La livraison a été très longue.,la livraison a été très longue.,livraison avoir très long,negatif,2,fr
AV1074,2026-05-25,sav,SmartWatch Pro,"Mauvaise expérience, je ne recommande pas. https://example.com/commande/1074","mauvaise expérience, je ne recommande pas.",mauvais expérience ne recommander pas,negatif,1,fr
AV1077,2026-01-14,email,SmartWatch Pro,"Mauvaise expérience, je ne recommande pas. !!!","mauvaise expérience, je ne recommande pas. !",mauvais expérience ne recommander pas,negatif,1,fr
AV1080,2026-07-31,email,SmartWatch Pro,@client Produit correct pour son prix.,produit correct pour son prix.,produit correct prix,neutre,4,fr
AV1085,2026-08-23,web,SmartPhone X,Service client réactif et commande reçue rapidement. https://example.com/commande/1085,service client réactif et commande reçue rapidement.,service client réactif commande reçu rapidement,positif,4,fr
AV1101,2026-01-30,sav,SmartWatch Pro,Produit correct pour son prix. https://example.com/commande/1101,produit correct pour son prix.,produit correct prix,neutre,3,fr
AV1111,2026-06-23,web,SmartPhone Y,"Très bon produit, la qualité est au rendez-vous. https://example.com/commande/1111","très bon produit, la qualité est au rendez-vous.",très bon produit qualité,positif,4,fr
AV1113,2026-07-22,sav,SmartPhone Y,"Je viens de recevoir le produit, à voir dans le temps. https://example.com/commande/1113","je viens de recevoir le produit, à voir dans le temps.",venir recevoir produit voir temps,neutre,4,fr
AV1116,2026-03-22,sav,Écouteurs AirSound,Le service client n'a pas répondu à ma demande. https://example.com/commande/1116,le service client n'a pas répondu à ma demande.,service client avoir pas répondre demande,negatif,1,fr
AV1119,2026-06-18,réseaux_sociaux,Ordinateur NovaBook,La qualité est correcte sans être exceptionnelle. https://example.com/commande/1119,la qualité est correcte sans être exceptionnelle.,qualité correct sans être exceptionnel,neutre,4,fr
AV1142,2026-05-24,sav,Écouteurs AirSound,Excellent rapport qualité-prix. https://example.com/commande/1142,excellent rapport qualité-prix.,excellent rapport,positif,5,fr
